NDB_No,Shrt_Desc,Water_.g.,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_..mg.,Vit_B12_.µg.,Vit_A_IU,Vit_A_RAE,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_..µg.,Vit_E_.mg.,Vit_D_µg,Vit_D_IU,Vit_K_.µg.,FA_Sat_.g.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.,,,,,,,,,,,
11061,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND WO/SALT",91.42,28,1.49,0.17,0.47,6.45,3,1.88,42,0.66,19,29,159,1,0.24,0.059,0.288,0.4,4.1,0.035,0.09,0.383,0.049,0.06,23,0,23,23,13.5,0,419,21,0,55,224,0,0,508,0.04,0,0,38.1,0.044,0.008,0.083,0,,,,,,,,,,,
11731,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",91.42,28,1.49,0.17,0.47,6.45,3,1.88,42,0.66,19,29,159,245,0.24,0.059,0.288,0.4,4.1,0.035,0.09,0.383,0.049,0.06,23,0,23,23,13.5,0,466,23,0,61,249,0,0,564,0.04,0,0,38.1,0.044,0.008,0.083,0,,,,,,,,,,,
11725,"BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT",89.22,35,1.89,0.28,0.73,7.88,3.3,3.63,46,1.28,25,39,299,239,0.36,0.103,0.294,0.4,9.7,0.074,0.097,0.614,0.074,0.056,33,0,33,33,16.9,0,81,4,0,0,49,0,0,712,0.46,0,0,47.9,0.064,0.011,0.145,0,,,,,,,,,,,
11724,"BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT",89.22,35,1.89,0.28,0.73,7.88,3.3,3.63,46,1.28,25,39,299,3,0.36,0.103,0.294,0.4,9.7,0.074,0.097,0.614,0.074,0.056,33,0,33,33,16.9,0,81,4,0,0,49,0,0,712,0.46,0,0,47.9,0.064,0.011,0.145,0,,,,,,,,,,,
11728,"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",94.68,15,0.8,0.1,0.92,3.5,1.5,0.62,24,0.9,13,19,98,14,0.2,0.07,0.335,0.2,4,0.025,0.051,0.2,0.106,0.03,18,0,18,18,8.3,0,83,4,0,0,50,0,0,363,0.23,0,0,31.2,0.023,0.004,0.052,0,,,,,,,,,,,
11932,"BEANS,SNAP,YEL,CND,REG PK,DRND SOL",93.3,20,1.15,0.1,0.95,4.5,1.3,0.78,26,0.9,13,19,109,251,0.29,0.038,0.2,0.4,4.8,0.015,0.056,0.201,0.129,0.037,32,0,32,32,10.5,0,105,5,0,0,63,0,0,458,0.29,0,0,39.3,0.022,0.004,0.051,0,,,,,,,,,,,
11727,"BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS",94.68,15,0.8,0.1,0.92,3.5,1.5,0.62,24,0.9,13,19,98,259,0.2,0.07,0.335,0.2,3.4,0.025,0.051,0.2,0.106,0.03,18,0,18,18,11.8,0,83,4,0,0,50,0,0,363,0.03,0,0,31.2,0.023,0.004,0.052,0,,,,,,,,,,,
11730,"BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP",89.88,33,1.8,0.21,0.53,7.58,2.8,2.22,42,0.86,22,32,186,3,0.26,0.049,0.385,0.4,12.9,0.099,0.092,0.499,0.085,0.042,15,0,15,15,15.9,0,132,7,0,17,71,0,0,666,0.05,0,0,45,0.047,0.008,0.108,0,,,,,,,,,,,
11733,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT",91.42,28,1.49,0.17,0.47,6.45,3,1.88,49,0.88,24,31,126,245,0.48,0.061,0.323,0.4,4.1,0.035,0.09,0.383,0.049,0.06,23,0,23,23,13.5,0,112,6,0,15,60,0,0,564,0.04,0,0,38.1,0.044,0.008,0.083,0,,,,,,,,,,,
11732,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT",91.42,28,1.49,0.17,0.47,6.45,3,1.88,49,0.88,24,31,126,9,0.48,0.061,0.323,0.4,4.1,0.035,0.09,0.383,0.049,0.06,23,0,23,23,13.5,0,112,6,0,15,60,0,0,564,0.04,0,0,38.1,0.044,0.008,0.083,0,,,,,,,,,,,
16350,"BEANS,WHITE,MATURE SEEDS,CKD,BLD,W/ SALT",63.08,139,9.73,0.35,1.75,25.09,6.3,0.34,90,3.7,63,113,561,242,1.38,0.287,0.636,1.3,0,0.118,0.046,0.14,0.229,0.093,81,0,81,81,35.1,0,0,0,0,0,0,0,0,0,0.94,0,0,3.5,0.091,0.031,0.152,0,,,,,,,,,,,
16050,"BEANS,WHITE,MATURE SEEDS,CKD,BLD,WO/SALT",63.08,139,9.73,0.35,1.75,25.09,6.3,0.34,90,3.7,63,113,561,6,1.38,0.287,0.636,1.3,0,0.118,0.046,0.14,0.229,0.093,81,0,81,81,35.1,0,0,0,0,0,0,0,0,0,0.94,0,0,3.5,0.091,0.031,0.152,0,,,,,,,,,,,
16049,"BEANS,WHITE,MATURE SEEDS,RAW",11.32,333,23.36,0.85,4.2,60.27,15.2,2.11,240,10.44,190,301,1795,16,3.67,0.984,1.796,12.8,0,0.437,0.146,0.479,0.732,0.318,388,0,388,388,66.2,0,0,0,0,0,0,0,0,0,0.21,0,0,5.6,0.219,0.074,0.364,0,,,,,,,,,,,
16348,"BEANS,YEL,MATURE SEEDS,CKD,BLD,W/SALT",62.98,144,9.16,1.08,1.5,25.28,10.4,0.34,62,2.48,74,183,325,241,1.06,0.186,0.455,1.3,1.8,0.187,0.103,0.708,0.229,0.129,81,0,81,81,35.2,0,2,0,0,0,0,0,0,0,0.94,0,0,3.5,0.279,0.094,0.466,0,,,,,,,,,,,
16048,"BEANS,YEL,MATURE SEEDS,CKD,BLD,WO/SALT",62.98,144,9.16,1.08,1.5,25.28,10.4,0.34,62,2.48,74,183,325,5,1.06,0.186,0.455,1.3,1.8,0.187,0.103,0.708,0.229,0.129,81,0,81,81,35.2,0,2,0,0,0,0,0,0,0,0.94,0,0,3.5,0.279,0.094,0.466,0,,,,,,,,,,,
23491,"BEEF COMP,LN,1/8\ FAT",CHOIC,"CKD""",61.51,203,28.73,9.16,1.08,0,0,0,11,2.49,22,197,298,53,5.84,0.085,0.032,33.1,0,0.076,0.213,6.148,0.525,0.523,8,0,8,8,89.2,1.99,2,1,1,0,0,0,0,0,0.27,0.1,3,1.5,3.536,4.059,0.455,82,,,,,,,,,
19002,"BEEF JERKY,CHOPD&FORMED",23.36,410,33.2,25.6,6.8,11,1.8,9,20,5.42,51,407,597,2081,8.11,0.227,0.111,10.7,0,0.154,0.142,1.732,0.163,0.179,134,0,134,134,109.1,0.99,0,0,0,0,0,0,0,0,0.49,0.3,11,2.3,10.85,11.305,1.011,48,,,,,,,,,,,
22402,"BEEF MACARONI W/ TOMATO SAU,FRZ ENTREE,RED FAT",73,113,5.89,1.96,1.15,17.99,1.4,3.8,12,1.3,17,65,202,178,1.08,0.123,0.174,12.2,3.9,0.116,0.092,1.806,0.237,0.117,31,23,8,48,17.8,0.29,152,8,0,1,91,0,5196,5,0.65,0,0,2.6,0.443,0.816,0.228,10,,,,,,,,,,,
7956,"BEEF SAUSAGE,FRSH,CKD",51.12,332,18.21,27.98,2.34,0.35,0,0,11,1.57,14,141,258,813,4.38,0.069,0,0,0,0.048,0.15,3.6,0.515,0.313,3,0,3,3,51.4,2.01,81,13,11,11,15,11,11,0,0.24,0.5,18,1.1,10.905,12.639,0.663,82,,,,,,,,,,,
7954,"BEEF SAUSAGE,PRE-COOKED",43.75,405,15.5,37.57,3.16,0.03,0,0,15,1.53,13,185,234,822,2.92,0.066,0.042,0,0.7,0.028,0.117,3.21,0.401,0.192,5,0,5,5,42.8,2.03,114,25,23,11,11,11,15,0,0.49,0.6,25,2.1,15.098,16.387,1.025,83,,,,,,,,,,,
22905,"BEEF STEW,CANNED ENTREE",80.78,99,4.41,5.53,1.43,7.85,0.9,1.76,12,2.48,8,42,163,388,1,0.141,0.059,4.7,0.7,0.073,0.053,1.096,0.12,0.087,14,0,14,14,15.6,0.5,223,11,0,53,106,3,28,4,0.27,0,0,6.2,2.185,2.543,0.251,13,,,,,,,,,,,
13980,"BEEF, CHUCK, SHORT RIBS, BNL, 0\ FAT", CHOICE, CKED," BR""",55.94,250,28.84,14.95,0.9,0,0,0,14,3.19,23,200,264,75,11.95,0.113,0.015,33.3,0,0.1,0.257,3.467,0.8,0.291,7,0,7,7,95.9,4.06,5,2,2,0,0,0,0,0,0.1,0.2,6,1.6,4.22,9.78,0.81,102,,,,,,,,
23386,"Beef, ln, top ln stk, bneless lip-on, 1/8\ fat all grdes raw""",70.63,143,23.07,5.67,1.02,0,0,0,15,1.84,12,207,284,46,3.72,0.044,0.002,21.5,0,0.056,0.211,6.742,0.372,0.578,4,0,4,4,58.3,1.78,7,2,2,0,0,0,0,0,0.22,0.1,2,1.5,2.345,2.711,0.381,60,,,,,,,,,,,
13943,"Beef, shoulder steak, boneless, lean only, 0\", choice," grill""",64.21,178,28.54,6.25,1.22,0,0,0,12,2.95,26,249,372,68,8.03,0.107,0.013,32.6,0,0.08,0.218,5.613,0.74,0.681,7,0,7,7,86,3.3,4,1,1,0,0,0,0,0,0.12,0.1,5,1.6,2.596,3.249,0.407,81,,,,,,,,,
13327,"BEEF, VAR MEATS&BY-PRODUCTS, LIVER, CKD, PAN-FRIED",62.01,175,26.52,4.68,1.63,5.16,0,0,6,6.17,22,485,351,77,5.23,14.588,0.356,32.8,0.7,0.177,3.425,17.475,6.943,1.027,260,0,260,260,418.2,83.13,26088,7744,7728,11,182,21,0,0,0.46,1.2,49,3.9,2.53,1.106,1.021,381,,,,,,,,,,,
13596,"BEEF,BRISKET,FLAT HALF,BNLESS LN,0\ FAT",ALL CHOICE,"RAW""",72.21,137,21.28,5.75,1,0,0,0,13,2.04,24,224,367,82,5.15,0.073,0.002,22.9,0,0.07,0.165,6.452,0.68,0.617,3,0,3,3,65.1,1.73,6,2,2,0,0,0,0,0,0.17,0.1,4,1.5,1.993,2.96,0.262,67,,,,,,,,,
13595,"BEEF,BRISKET,FLAT HALF,BNLESS LN,0\ FAT",ALL GRDS,"RAW""",72.7,132,21.47,5.11,1.03,0,0,0,13,2.06,24,222,362,83,5.21,0.07,0.002,24.6,0,0.075,0.165,6.353,0.725,0.622,3,0,3,3,63.7,1.81,6,2,2,0,0,0,0,0,0.14,0.1,4,1.5,1.844,2.728,0.253,67,,,,,,,,,
13904,"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0\ FAT",ALL GRDS,"RAW""",69.89,165,20.32,9.29,0.98,0,0,0,13,2,22,210,344,80,4.98,0.067,0.002,23.1,0,0.075,0.154,6.019,0.689,0.59,3,0,3,3,59.9,1.76,12,4,4,0,0,0,0,0,0.14,0.1,4,1.5,3.592,4.586,0.393,67,,,,,,,,,
13975,"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0\ FAT",CHOIC,"RAW""",69.47,169,20.15,9.86,0.96,0,0,0,13,1.98,22,212,349,79,4.93,0.069,0.002,21.6,0,0.07,0.154,6.115,0.647,0.586,3,0,3,3,61.3,1.68,12,4,4,0,0,0,0,0,0.16,0.1,4,1.5,3.704,4.772,0.398,67,,,,,,,,,
